LECROYWR6051,12904,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,02-Oct-2024 14:53:51,0                 
Time,Ampl
-0.0050000174,-0.123745
-0.0049999174,-0.137003
-0.0049998174,-0.145842
-0.0049997174,-0.145842
-0.0049996174,-0.145842
-0.0049995174,-0.145842
-0.0049994174,-0.141423
-0.0049993174,-0.141423
-0.0049992174,-0.141423
-0.0049991174,-0.145842
-0.0049990174,-0.137003
-0.0049989174,-0.141423
-0.0049988174,-0.137003
-0.0049987174,-0.137003
-0.0049986174,-0.137003
-0.0049985174,-0.137003
-0.0049984174,-0.137003
-0.0049983174,-0.132584
-0.0049982174,-0.128164
-0.0049981174,-0.137003
-0.0049980174,-0.132584
-0.0049979174,-0.137003
-0.0049978174,-0.132584
-0.0049977174,-0.145842
-0.0049976174,-0.128164
-0.0049975174,-0.137003
-0.0049974174,-0.137003
-0.0049973174,-0.128164
-0.0049972174,-0.132584
-0.0049971174,-0.141423
-0.0049970174,-0.132584
-0.0049969174,-0.137003
-0.0049968174,-0.141423
-0.0049967174,-0.128164
-0.0049966174,-0.132584
-0.0049965174,-0.132584
-0.0049964174,-0.132584
-0.0049963174,-0.137003
-0.0049962174,-0.132584
-0.0049961174,-0.128164
-0.0049960174,-0.132584
-0.0049959174,-0.132584
-0.0049958174,-0.123745
-0.0049957174,-0.123745
-0.0049956174,-0.123745
-0.0049955174,-0.123745
-0.0049954174,-0.128164
-0.0049953174,-0.128164
-0.0049952174,-0.128164
-0.0049951174,-0.123745
-0.0049950174,-0.128164
-0.0049949174,-0.119325
-0.0049948174,-0.123745
-0.0049947174,-0.132584
-0.0049946174,-0.119325
-0.0049945174,-0.119325
-0.0049944174,-0.132584
-0.0049943174,-0.123745
-0.0049942174,-0.114906
-0.0049941174,-0.128164
-0.0049940174,-0.137003
-0.0049939174,-0.123745
-0.0049938174,-0.123745
-0.0049937174,-0.119325
-0.0049936174,-0.123745
-0.0049935174,-0.123745
-0.0049934174,-0.114906
-0.0049933174,-0.119325
-0.0049932174,-0.123745
-0.0049931174,-0.114906
-0.0049930174,-0.119325
-0.0049929174,-0.128164
-0.0049928174,-0.119325
-0.0049927174,-0.114906
-0.0049926174,-0.110486
-0.0049925174,-0.106067
-0.0049924174,-0.114906
-0.0049923174,-0.114906
-0.0049922174,-0.110486
-0.0049921174,-0.114906
-0.0049920174,-0.110486
-0.0049919174,-0.110486
-0.0049918174,-0.106067
-0.0049917174,-0.106067
-0.0049916174,-0.110486
-0.0049915174,-0.110486
-0.0049914174,-0.132584
-0.0049913174,-0.0972281
-0.0049912174,-0.110486
-0.0049911174,-0.119325
-0.0049910174,-0.0972281
-0.0049909174,-0.101648
-0.0049908174,-0.114906
-0.0049907174,-0.106067
-0.0049906174,-0.0972281
-0.0049905174,-0.114906
-0.0049904174,-0.114906
-0.0049903174,-0.101648
-0.0049902174,-0.0972281
-0.0049901174,-0.106067
-0.0049900174,-0.101648
-0.0049899174,-0.110486
-0.0049898174,-0.101648
-0.0049897174,-0.106067
-0.0049896174,-0.106067
-0.0049895174,-0.106067
-0.0049894174,-0.101648
-0.0049893174,-0.110486
-0.0049892174,-0.101648
-0.0049891174,-0.106067
-0.0049890174,-0.110486
-0.0049889174,-0.106067
-0.0049888174,-0.0928087
-0.0049887174,-0.0883892
-0.0049886174,-0.128164
-0.0049885174,-0.0972281
-0.0049884174,-0.0928087
-0.0049883174,-0.110486
-0.0049882174,-0.101648
-0.0049881174,-0.0972281
-0.0049880174,-0.0883892
-0.0049879174,-0.101648
-0.0049878174,-0.101648
-0.0049877174,-0.0928087
-0.0049876174,-0.0928087
-0.0049875174,-0.0883892
-0.0049874174,-0.101648
-0.0049873174,-0.0972281
-0.0049872174,-0.0928087
-0.0049871174,-0.0928087
-0.0049870174,-0.0972281
-0.0049869174,-0.106067
-0.0049868174,-0.0972281
-0.0049867174,-0.0928087
-0.0049866174,-0.0928087
-0.0049865174,-0.0972281
-0.0049864174,-0.101648
-0.0049863174,-0.0928087
-0.0049862174,-0.0883892
-0.0049861174,-0.0928087
-0.0049860174,-0.0928087
-0.0049859174,-0.0928087
-0.0049858174,-0.0883892
-0.0049857174,-0.0883892
-0.0049856174,-0.0972281
-0.0049855174,-0.0839697
-0.0049854174,-0.0883892
-0.0049853174,-0.0795503
-0.0049852174,-0.0839697
-0.0049851174,-0.0928087
-0.0049850174,-0.0839697
-0.0049849174,-0.0883892
-0.0049848174,-0.0883892
-0.0049847174,-0.0928087
-0.0049846174,-0.0795503
-0.0049845174,-0.0839697
-0.0049844174,-0.0795503
-0.0049843174,-0.0839697
-0.0049842174,-0.0839697
-0.0049841174,-0.0795503
-0.0049840174,-0.0883892
-0.0049839174,-0.0795503
-0.0049838174,-0.0839697
-0.0049837174,-0.0839697
-0.0049836174,-0.0928087
-0.0049835174,-0.0839697
-0.0049834174,-0.0795503
-0.0049833174,-0.0795503
-0.0049832174,-0.0839697
-0.0049831174,-0.0795503
-0.0049830174,-0.0751308
-0.0049829174,-0.0751308
-0.0049828174,-0.0795503
-0.0049827174,-0.0751308
-0.0049826174,-0.0795503
-0.0049825174,-0.0883892
-0.0049824174,-0.0883892
-0.0049823174,-0.0751308
-0.0049822174,-0.0751308
-0.0049821174,-0.0795503
-0.0049820174,-0.0751308
-0.0049819174,-0.0795503
-0.0049818174,-0.0751308
