LECROYWR6051,12904,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,02-Oct-2024 15:05:01,0                 
Time,Ampl
-0.0050000356,-0.212134
-0.0049999356,-0.216554
-0.0049998356,-0.216554
-0.0049997356,-0.216554
-0.0049996356,-0.216554
-0.0049995356,-0.207715
-0.0049994356,-0.207715
-0.0049993356,-0.225392
-0.0049992356,-0.207715
-0.0049991356,-0.212134
-0.0049990356,-0.212134
-0.0049989356,-0.220973
-0.0049988356,-0.203295
-0.0049987356,-0.212134
-0.0049986356,-0.220973
-0.0049985356,-0.207715
-0.0049984356,-0.220973
-0.0049983356,-0.216554
-0.0049982356,-0.220973
-0.0049981356,-0.225392
-0.0049980356,-0.216554
-0.0049979356,-0.212134
-0.0049978356,-0.216554
-0.0049977356,-0.220973
-0.0049976356,-0.216554
-0.0049975356,-0.220973
-0.0049974356,-0.225392
-0.0049973356,-0.212134
-0.0049972356,-0.207715
-0.0049971356,-0.216554
-0.0049970356,-0.225392
-0.0049969356,-0.220973
-0.0049968356,-0.216554
-0.0049967356,-0.216554
-0.0049966356,-0.225392
-0.0049965356,-0.225392
-0.0049964356,-0.216554
-0.0049963356,-0.216554
-0.0049962356,-0.225392
-0.0049961356,-0.225392
-0.0049960356,-0.225392
-0.0049959356,-0.216554
-0.0049958356,-0.225392
-0.0049957356,-0.220973
-0.0049956356,-0.229812
-0.0049955356,-0.225392
-0.0049954356,-0.225392
-0.0049953356,-0.225392
-0.0049952356,-0.220973
-0.0049951356,-0.229812
-0.0049950356,-0.216554
-0.0049949356,-0.225392
-0.0049948356,-0.225392
-0.0049947356,-0.220973
-0.0049946356,-0.225392
-0.0049945356,-0.229812
-0.0049944356,-0.225392
-0.0049943356,-0.225392
-0.0049942356,-0.229812
-0.0049941356,-0.234231
-0.0049940356,-0.229812
-0.0049939356,-0.229812
-0.0049938356,-0.234231
-0.0049937356,-0.225392
-0.0049936356,-0.238651
-0.0049935356,-0.229812
-0.0049934356,-0.216554
-0.0049933356,-0.238651
-0.0049932356,-0.229812
-0.0049931356,-0.229812
-0.0049930356,-0.229812
-0.0049929356,-0.229812
-0.0049928356,-0.229812
-0.0049927356,-0.225392
-0.0049926356,-0.24749
-0.0049925356,-0.225392
-0.0049924356,-0.234231
-0.0049923356,-0.225392
-0.0049922356,-0.234231
-0.0049921356,-0.238651
-0.0049920356,-0.238651
-0.0049919356,-0.234231
-0.0049918356,-0.238651
-0.0049917356,-0.229812
-0.0049916356,-0.229812
-0.0049915356,-0.234231
-0.0049914356,-0.238651
-0.0049913356,-0.229812
-0.0049912356,-0.229812
-0.0049911356,-0.24307
-0.0049910356,-0.229812
-0.0049909356,-0.229812
-0.0049908356,-0.24749
-0.0049907356,-0.229812
-0.0049906356,-0.234231
-0.0049905356,-0.238651
-0.0049904356,-0.238651
-0.0049903356,-0.238651
-0.0049902356,-0.24307
-0.0049901356,-0.238651
-0.0049900356,-0.234231
-0.0049899356,-0.229812
-0.0049898356,-0.229812
-0.0049897356,-0.238651
-0.0049896356,-0.238651
-0.0049895356,-0.234231
-0.0049894356,-0.24307
-0.0049893356,-0.238651
-0.0049892356,-0.238651
-0.0049891356,-0.234231
-0.0049890356,-0.234231
-0.0049889356,-0.24749
-0.0049888356,-0.24307
-0.0049887356,-0.238651
-0.0049886356,-0.24307
-0.0049885356,-0.234231
-0.0049884356,-0.238651
-0.0049883356,-0.234231
-0.0049882356,-0.24307
-0.0049881356,-0.24749
-0.0049880356,-0.238651
-0.0049879356,-0.24307
-0.0049878356,-0.265168
-0.0049877356,-0.238651
-0.0049876356,-0.24307
-0.0049875356,-0.256329
-0.0049874356,-0.24749
-0.0049873356,-0.256329
-0.0049872356,-0.24307
-0.0049871356,-0.24749
-0.0049870356,-0.251909
-0.0049869356,-0.256329
-0.0049868356,-0.24307
-0.0049867356,-0.24307
-0.0049866356,-0.24307
-0.0049865356,-0.24749
-0.0049864356,-0.265168
-0.0049863356,-0.269587
-0.0049862356,-0.24307
-0.0049861356,-0.260748
-0.0049860356,-0.24307
-0.0049859356,-0.238651
-0.0049858356,-0.24749
-0.0049857356,-0.251909
-0.0049856356,-0.251909
-0.0049855356,-0.251909
-0.0049854356,-0.24307
-0.0049853356,-0.238651
-0.0049852356,-0.256329
-0.0049851356,-0.24749
-0.0049850356,-0.251909
-0.0049849356,-0.256329
-0.0049848356,-0.24749
-0.0049847356,-0.256329
-0.0049846356,-0.24749
-0.0049845356,-0.24749
-0.0049844356,-0.24749
-0.0049843356,-0.24307
-0.0049842356,-0.256329
-0.0049841356,-0.256329
-0.0049840356,-0.260748
-0.0049839356,-0.256329
-0.0049838356,-0.256329
-0.0049837356,-0.238651
-0.0049836356,-0.256329
-0.0049835356,-0.256329
-0.0049834356,-0.256329
-0.0049833356,-0.24749
-0.0049832356,-0.24749
-0.0049831356,-0.251909
-0.0049830356,-0.251909
-0.0049829356,-0.234231
-0.0049828356,-0.256329
-0.0049827356,-0.251909
-0.0049826356,-0.24749
-0.0049825356,-0.260748
-0.0049824356,-0.251909
-0.0049823356,-0.256329
-0.0049822356,-0.256329
-0.0049821356,-0.24307
-0.0049820356,-0.251909
-0.0049819356,-0.251909
-0.0049818356,-0.24307
-0.0049817356,-0.251909
-0.0049816356,-0.260748
-0.0049815356,-0.24307
-0.0049814356,-0.24307
-0.0049813356,-0.265168
-0.0049812356,-0.24749
-0.0049811356,-0.24307
-0.0049810356,-0.260748
-0.0049809356,-0.251909
-0.0049808356,-0.24749
-0.0049807356,-0.260748
-0.0049806356,-0.260748
-0.0049805356,-0.24749
-0.0049804356,-0.265168
-0.0049803356,-0.24749
-0.0049802356,-0.256329
-0.0049801356,-0.251909
-0.0049800356,-0.24749
-0.0049799356,-0.251909
-0.0049798356,-0.256329
-0.0049797356,-0.256329
-0.0049796356,-0.256329
-0.0049795356,-0.251909
-0.0049794356,-0.260748
-0.0049793356,-0.251909
-0.0049792356,-0.256329
-0.0049791356,-0.265168
-0.0049790356,-0.251909
-0.0049789356,-0.256329
-0.0049788356,-0.256329
-0.0049787356,-0.256329
-0.0049786356,-0.256329
-0.0049785356,-0.260748
-0.0049784356,-0.24749
-0.0049783356,-0.251909
-0.0049782356,-0.260748
-0.0049781356,-0.251909
-0.0049780356,-0.256329
-0.0049779356,-0.24749
-0.0049778356,-0.256329
-0.0049777356,-0.251909
-0.0049776356,-0.251909
-0.0049775356,-0.256329
-0.0049774356,-0.274007
-0.0049773356,-0.269587
-0.0049772356,-0.234231
-0.0049771356,-0.260748
-0.0049770356,-0.251909
-0.0049769356,-0.24749
-0.0049768356,-0.260748
-0.0049767356,-0.260748
-0.0049766356,-0.251909
-0.0049765356,-0.256329
-0.0049764356,-0.260748
-0.0049763356,-0.24749
-0.0049762356,-0.256329
-0.0049761356,-0.260748
-0.0049760356,-0.251909
-0.0049759356,-0.260748
-0.0049758356,-0.256329
-0.0049757356,-0.260748
-0.0049756356,-0.260748
-0.0049755356,-0.256329
-0.0049754356,-0.251909
-0.0049753356,-0.260748
-0.0049752356,-0.256329
-0.0049751356,-0.24749
-0.0049750356,-0.265168
-0.0049749356,-0.251909
-0.0049748356,-0.24749
-0.0049747356,-0.260748
-0.0049746356,-0.251909
-0.0049745356,-0.260748
-0.0049744356,-0.256329
-0.0049743356,-0.251909
-0.0049742356,-0.256329
-0.0049741356,-0.251909
-0.0049740356,-0.256329
-0.0049739356,-0.251909
-0.0049738356,-0.256329
-0.0049737356,-0.251909
-0.0049736356,-0.24307
-0.0049735356,-0.234231
-0.0049734356,-0.269587
-0.0049733356,-0.24749
-0.0049732356,-0.24307
-0.0049731356,-0.269587
-0.0049730356,-0.251909
-0.0049729356,-0.256329
-0.0049728356,-0.256329
-0.0049727356,-0.251909
-0.0049726356,-0.251909
-0.0049725356,-0.256329
-0.0049724356,-0.24749
-0.0049723356,-0.251909
-0.0049722356,-0.260748
-0.0049721356,-0.24749
-0.0049720356,-0.251909
-0.0049719356,-0.256329
-0.0049718356,-0.251909
-0.0049717356,-0.256329
-0.0049716356,-0.256329
-0.0049715356,-0.251909
-0.0049714356,-0.251909
-0.0049713356,-0.251909
-0.0049712356,-0.260748
-0.0049711356,-0.251909
-0.0049710356,-0.24307
-0.0049709356,-0.265168
-0.0049708356,-0.24749
-0.0049707356,-0.256329
-0.0049706356,-0.251909
-0.0049705356,-0.24749
-0.0049704356,-0.265168
-0.0049703356,-0.251909
-0.0049702356,-0.260748
-0.0049701356,-0.256329
-0.0049700356,-0.260748
-0.0049699356,-0.256329
-0.0049698356,-0.256329
-0.0049697356,-0.251909
-0.0049696356,-0.251909
-0.0049695356,-0.260748
-0.0049694356,-0.24749
-0.0049693356,-0.251909
-0.0049692356,-0.256329
-0.0049691356,-0.251909
-0.0049690356,-0.260748
-0.0049689356,-0.251909
-0.0049688356,-0.256329
-0.0049687356,-0.265168
-0.0049686356,-0.256329
-0.0049685356,-0.24749
-0.0049684356,-0.256329
-0.0049683356,-0.251909
-0.0049682356,-0.256329
-0.0049681356,-0.251909
-0.0049680356,-0.251909
-0.0049679356,-0.251909
-0.0049678356,-0.251909
-0.0049677356,-0.251909
-0.0049676356,-0.256329
-0.0049675356,-0.251909
-0.0049674356,-0.251909
-0.0049673356,-0.251909
-0.0049672356,-0.260748
-0.0049671356,-0.256329
-0.0049670356,-0.256329
-0.0049669356,-0.24749
-0.0049668356,-0.251909
-0.0049667356,-0.251909
-0.0049666356,-0.251909
-0.0049665356,-0.251909
-0.0049664356,-0.24749
-0.0049663356,-0.251909
-0.0049662356,-0.256329
-0.0049661356,-0.251909
-0.0049660356,-0.24749
-0.0049659356,-0.24307
-0.0049658356,-0.251909
-0.0049657356,-0.251909
-0.0049656356,-0.251909
-0.0049655356,-0.251909
-0.0049654356,-0.24307
-0.0049653356,-0.251909
-0.0049652356,-0.24749
-0.0049651356,-0.251909
-0.0049650356,-0.256329
-0.0049649356,-0.24749
-0.0049648356,-0.251909
-0.0049647356,-0.251909
-0.0049646356,-0.24307
-0.0049645356,-0.24749
-0.0049644356,-0.238651
-0.0049643356,-0.256329
-0.0049642356,-0.256329
-0.0049641356,-0.238651
-0.0049640356,-0.24749
-0.0049639356,-0.24749
-0.0049638356,-0.238651
-0.0049637356,-0.238651
-0.0049636356,-0.256329
-0.0049635356,-0.24749
-0.0049634356,-0.238651
-0.0049633356,-0.251909
-0.0049632356,-0.256329
-0.0049631356,-0.24307
-0.0049630356,-0.256329
-0.0049629356,-0.24749
-0.0049628356,-0.238651
-0.0049627356,-0.256329
-0.0049626356,-0.24749
-0.0049625356,-0.238651
-0.0049624356,-0.24307
-0.0049623356,-0.238651
-0.0049622356,-0.24749
-0.0049621356,-0.24749
-0.0049620356,-0.251909
-0.0049619356,-0.24307
-0.0049618356,-0.24749
-0.0049617356,-0.251909
-0.0049616356,-0.24307
-0.0049615356,-0.238651
-0.0049614356,-0.24307
-0.0049613356,-0.24749
-0.0049612356,-0.24749
-0.0049611356,-0.24307
-0.0049610356,-0.24307
-0.0049609356,-0.234231
-0.0049608356,-0.238651
-0.0049607356,-0.256329
-0.0049606356,-0.24307
-0.0049605356,-0.234231
-0.0049604356,-0.238651
-0.0049603356,-0.24307
-0.0049602356,-0.234231
-0.0049601356,-0.24307
-0.0049600356,-0.24307
-0.0049599356,-0.24307
-0.0049598356,-0.234231
-0.0049597356,-0.238651
-0.0049596356,-0.238651
-0.0049595356,-0.229812
-0.0049594356,-0.24307
-0.0049593356,-0.234231
-0.0049592356,-0.229812
-0.0049591356,-0.24307
-0.0049590356,-0.24749
-0.0049589356,-0.234231
-0.0049588356,-0.234231
-0.0049587356,-0.238651
-0.0049586356,-0.229812
-0.0049585356,-0.24307
-0.0049584356,-0.225392
