LECROYWR6051,12904,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,02-Oct-2024 15:03:21,0                 
Time,Ampl
-0.0050000952,-0.229812
-0.0049999952,-0.234231
-0.0049998952,-0.238651
-0.0049997952,-0.234231
-0.0049996952,-0.238651
-0.0049995952,-0.238651
-0.0049994952,-0.229812
-0.0049993952,-0.238651
-0.0049992952,-0.24307
-0.0049991952,-0.234231
-0.0049990952,-0.238651
-0.0049989952,-0.238651
-0.0049988952,-0.229812
-0.0049987952,-0.234231
-0.0049986952,-0.234231
-0.0049985952,-0.234231
-0.0049984952,-0.220973
-0.0049983952,-0.24307
-0.0049982952,-0.24749
-0.0049981952,-0.229812
-0.0049980952,-0.24307
-0.0049979952,-0.225392
-0.0049978952,-0.24307
-0.0049977952,-0.238651
-0.0049976952,-0.229812
-0.0049975952,-0.238651
-0.0049974952,-0.234231
-0.0049973952,-0.24749
-0.0049972952,-0.238651
-0.0049971952,-0.234231
-0.0049970952,-0.24749
-0.0049969952,-0.24307
-0.0049968952,-0.238651
-0.0049967952,-0.234231
-0.0049966952,-0.24749
-0.0049965952,-0.238651
-0.0049964952,-0.24307
-0.0049963952,-0.24307
-0.0049962952,-0.24307
-0.0049961952,-0.24307
-0.0049960952,-0.24307
-0.0049959952,-0.238651
-0.0049958952,-0.24307
-0.0049957952,-0.24307
-0.0049956952,-0.24307
-0.0049955952,-0.234231
-0.0049954952,-0.24307
-0.0049953952,-0.234231
-0.0049952952,-0.238651
-0.0049951952,-0.220973
-0.0049950952,-0.256329
-0.0049949952,-0.24307
-0.0049948952,-0.234231
-0.0049947952,-0.24749
-0.0049946952,-0.234231
-0.0049945952,-0.24307
-0.0049944952,-0.24749
-0.0049943952,-0.24749
-0.0049942952,-0.24307
-0.0049941952,-0.238651
-0.0049940952,-0.238651
-0.0049939952,-0.24307
-0.0049938952,-0.24749
-0.0049937952,-0.238651
-0.0049936952,-0.24749
-0.0049935952,-0.24749
-0.0049934952,-0.24307
-0.0049933952,-0.24749
-0.0049932952,-0.24307
-0.0049931952,-0.238651
-0.0049930952,-0.24749
-0.0049929952,-0.24749
-0.0049928952,-0.251909
-0.0049927952,-0.229812
-0.0049926952,-0.24307
-0.0049925952,-0.265168
-0.0049924952,-0.229812
-0.0049923952,-0.24307
-0.0049922952,-0.24307
-0.0049921952,-0.238651
-0.0049920952,-0.24749
-0.0049919952,-0.24749
-0.0049918952,-0.251909
-0.0049917952,-0.24749
-0.0049916952,-0.24307
-0.0049915952,-0.24307
-0.0049914952,-0.24749
-0.0049913952,-0.24749
-0.0049912952,-0.238651
-0.0049911952,-0.251909
-0.0049910952,-0.238651
-0.0049909952,-0.24307
-0.0049908952,-0.24749
-0.0049907952,-0.24749
-0.0049906952,-0.251909
-0.0049905952,-0.24307
-0.0049904952,-0.24749
-0.0049903952,-0.24307
-0.0049902952,-0.251909
-0.0049901952,-0.24307
-0.0049900952,-0.24307
-0.0049899952,-0.238651
-0.0049898952,-0.24749
-0.0049897952,-0.24749
-0.0049896952,-0.24749
-0.0049895952,-0.238651
-0.0049894952,-0.24749
-0.0049893952,-0.24749
-0.0049892952,-0.24749
-0.0049891952,-0.24749
-0.0049890952,-0.251909
-0.0049889952,-0.24307
-0.0049888952,-0.256329
-0.0049887952,-0.251909
-0.0049886952,-0.256329
-0.0049885952,-0.24749
-0.0049884952,-0.256329
-0.0049883952,-0.24307
-0.0049882952,-0.251909
-0.0049881952,-0.24749
-0.0049880952,-0.24307
-0.0049879952,-0.251909
-0.0049878952,-0.256329
-0.0049877952,-0.24307
-0.0049876952,-0.256329
-0.0049875952,-0.251909
-0.0049874952,-0.24749
-0.0049873952,-0.24307
-0.0049872952,-0.24749
-0.0049871952,-0.24307
-0.0049870952,-0.251909
-0.0049869952,-0.24307
-0.0049868952,-0.24749
-0.0049867952,-0.251909
-0.0049866952,-0.24749
-0.0049865952,-0.24307
-0.0049864952,-0.251909
-0.0049863952,-0.24307
-0.0049862952,-0.251909
-0.0049861952,-0.256329
-0.0049860952,-0.24307
-0.0049859952,-0.256329
-0.0049858952,-0.251909
-0.0049857952,-0.256329
-0.0049856952,-0.24307
-0.0049855952,-0.234231
-0.0049854952,-0.256329
-0.0049853952,-0.256329
-0.0049852952,-0.256329
-0.0049851952,-0.24749
-0.0049850952,-0.251909
-0.0049849952,-0.251909
-0.0049848952,-0.24749
-0.0049847952,-0.24749
-0.0049846952,-0.24749
-0.0049845952,-0.251909
-0.0049844952,-0.251909
-0.0049843952,-0.24749
-0.0049842952,-0.251909
-0.0049841952,-0.24307
-0.0049840952,-0.238651
-0.0049839952,-0.251909
-0.0049838952,-0.238651
-0.0049837952,-0.256329
-0.0049836952,-0.251909
-0.0049835952,-0.24749
-0.0049834952,-0.24749
-0.0049833952,-0.24749
-0.0049832952,-0.251909
-0.0049831952,-0.251909
-0.0049830952,-0.256329
-0.0049829952,-0.24749
-0.0049828952,-0.24749
-0.0049827952,-0.24749
-0.0049826952,-0.24749
-0.0049825952,-0.238651
-0.0049824952,-0.24749
-0.0049823952,-0.24749
-0.0049822952,-0.24749
-0.0049821952,-0.24749
-0.0049820952,-0.24307
-0.0049819952,-0.24749
-0.0049818952,-0.238651
-0.0049817952,-0.24749
-0.0049816952,-0.24307
-0.0049815952,-0.251909
-0.0049814952,-0.251909
-0.0049813952,-0.24749
-0.0049812952,-0.251909
-0.0049811952,-0.24749
-0.0049810952,-0.24307
-0.0049809952,-0.256329
-0.0049808952,-0.24749
-0.0049807952,-0.251909
-0.0049806952,-0.251909
-0.0049805952,-0.251909
-0.0049804952,-0.260748
-0.0049803952,-0.225392
-0.0049802952,-0.24749
-0.0049801952,-0.24307
-0.0049800952,-0.251909
-0.0049799952,-0.251909
-0.0049798952,-0.24307
-0.0049797952,-0.256329
-0.0049796952,-0.251909
-0.0049795952,-0.24307
-0.0049794952,-0.24307
-0.0049793952,-0.24749
-0.0049792952,-0.238651
-0.0049791952,-0.24307
-0.0049790952,-0.24749
-0.0049789952,-0.24749
-0.0049788952,-0.24749
-0.0049787952,-0.24307
-0.0049786952,-0.24749
-0.0049785952,-0.24307
-0.0049784952,-0.24307
-0.0049783952,-0.256329
-0.0049782952,-0.24307
-0.0049781952,-0.238651
-0.0049780952,-0.24307
-0.0049779952,-0.260748
-0.0049778952,-0.24749
-0.0049777952,-0.225392
-0.0049776952,-0.256329
-0.0049775952,-0.24307
-0.0049774952,-0.238651
